City,Code1,Code2
Amy,FR,YMA
Anais,FR,AJS
Anan,FR,AA3
Ancenis,FR,ANC
Ancerville,FR,ACV
Ancerville,FR,ANR
Anché,FR,ANH
Ancier,FR,ANF
Ancy-le-Franc,FR,AYF
Ancy-sur-Moselle,FR,ASE
Andance,FR,ADC
Andancette,FR,ZAU
Andard,FR,DRD
Andé,FR,ADE
Andelnans,FR,AD9
Andelot-Blancheville,FR,AND
Andelot-en-Montagne,FR,ADM
Andernos-les-Bains,FR,ADB
Andert-et-Condon,FR,A9C
Andeville,FR,AI2
Andillac,FR,AT6
Andilly,FR,DIY
Andilly,FR,A95
Andilly-en-Bassigny,FR,AYY
Andiran,FR,ADJ
Andolsheim,FR,A68
Andon,FR,A7N
Andouillé,FR,ANJ
Andrest,FR,ADT
Andrésy,FR,YAY
Andrezé,FR,ADZ
Andrezel,FR,AZL
Andrézieux-Bouthéon,FR,AZX
Anduze,FR,ADU
Anet,FR,AET
Anetz,FR,NEZ
Angé,FR,AG3
Angeac-Champagne,FR,AHP
Angeac-Charente,FR,AHT
Angers,FR,ANE
Angerville,FR,ANV
Angerville-Bailleul,FR,UGH
Angerville-la-Campagne,FR,AVH
Angervilliers,FR,GV7
Angeville,FR,T82
Anglade,FR,GL9
Anglars-Nozac,FR,TO2
Anglefort,FR,AGT
Anglemont,FR,AQM
Anglès,FR,P5Y
Anglet,FR,ALT
Anglure,FR,AG5
Angoulême,FR,ANG
Angoulins,FR,AJJ
Angres,FR,AQG
Angresse,FR,ASQ
Anguilcourt-le-Sart,FR,TG7
Angy,FR,AGY
Aniane,FR,ANN
Aniche,FR,ANI
Anizy-le-Château,FR,AYC
Anjou,FR,AJU
Anjouin,FR,A36
Anjoutey,FR,T9R
Annay,FR,QNA
Annay,FR,YNA
Annecy,FR,NCY
Annecy-le-Vieux,FR,AVB
Annemasse,FR,ANM
Annequin,FR,AQI
Annesse-et-Beaulieu,FR,N8B
Annet-sur-Marne,FR,AM6
Anneville-Ambourville,FR,AXW
Anneville-sur-Scie,FR,AN7
Anneyron,FR,ANY
Annezin,FR,AZN
Annoire,FR,AN8
Annonay,FR,AOY
Annoville,FR,A3N
Annullin,FR,AN4
Anor,FR,NRA
Anould,FR,ANL
Ansac-sur-Vienne,FR,ASV
Anse,FR,XAN
Ansouis,FR,AN9
Anteuil,FR,ATI
Antheny,FR,AT9
Anthon,FR,A9N
Anthy-Sechex,FR,AHH
Anthy-sur-Léman,FR,ANA
Antibes,FR,ANT
Antignac,FR,ATC
Antignac,FR,ATA
Antigny,FR,XNX
Antilly,FR,A66
Antisanti,FR,AT5
Antony/Paris,FR,ATY
Antrain,FR,ANX
Antran,FR,2AT
Antugnac,FR,AA9
Antully,FR,AN6
Anvin,FR,NVN
Anzin,FR,ANZ
Anzin-Saint-Aubin,FR,AAU
Aoste,FR,AOS
Aouste-sur-Sye,FR,AOT
Apach,FR,AAH
Appenwihr,FR,APW
Appeville-Annebault,FR,AP2
Appilly,FR,APY
Appoigny,FR,APP
Apprieu,FR,APR
Apremont,FR,AP8
Apremont,FR,3FA
Apt,FR,APT
Arâches,FR,AHS
Aragon,FR,AR3
Aramits,FR,AAM
Aramon,FR,AAO
Aranc,FR,AC5
Arandon,FR,A2R
Arbanats,FR,AS9
Arbent,FR,ARB
Arbérats-Sillègue,FR,KJ8
Arbin,FR,AR9
Arbis,FR,QAR
Arbois,FR,ARS
Arbonne,FR,ANQ
Arboras,FR,AR2
Arbot,FR,AZQ
Arbouans,FR,AKU
Arbrissel,FR,R6B
Arbus,FR,64A
Arcachon,FR,ARC
Arcangues,FR,ACG
Arçay,FR,2AC
Arçay,FR,ACA
Arcenant,FR,AN2
Arc-en-Barrois,FR,AE2
Arcens,FR,A9R
Arc-et-Senans,FR,RCN
Archamps,FR,ACS
Arches,FR,ACX
Arches,FR,ARV
Archiac,FR,IAC
Archignac,FR,AH7
Arcins,FR,ARX
Arcis-sur-Aube,FR,ASA
Arc-lès-Gray,FR,ALZ
Arcomps,FR,ACM
Arconcey,FR,A7C
Arçonnay,FR,AC6
Arconville,FR,DA3
Arc-sous-Montenot,FR,ASK
Arc-sur-Tille,FR,ASU
Arcueil,FR,RCI
Arcy-sur-Cure,FR,ACY
Ardenay-sur-Mérize,FR,ZBJ
Ardentes,FR,ADD
Ardes,FR,RDE
Ardillières,FR,A72
Ardizas,FR,5DF
Ardoix,FR,ADX
Ardon,FR,IAE
Ardon,FR,AWD
Ardres,FR,ARD
Aregno,FR,AEG
Arengosse,FR,AGO
Arenthon,FR,HTW
Arès,FR,TWA
Arfons,FR,AFR
Arganchy,FR,AY4
Argancy,FR,AXY
Argelès-Gazost,FR,AGZ
Argelès-sur-Mer,FR,ALM
Argeliers,FR,AJR
Argelliers,FR,ALW
Argences,FR,AC9
Argences en Aubrac,FR,A3E
Argens-Minervois,FR,AM8
Argentan,FR,AGX
Argentat,FR,GTT
Argenteuil,FR,ATL
Argenton,FR,AR5
Argenton-sur-Creuse,FR,ACR
Argentré,FR,GTR
Argentré-du-Plessis,FR,ADP
Argent-sur-Sauldre,FR,ATD
Argilly,FR,A5R
Argis,FR,ARG
Argoeuvres,FR,AS8
Argonay,FR,ARY
Arguves,FR,AQV
Arinthod,FR,RTH
Arlanc,FR,ARK
Arlay,FR,ARW
Arlebosc,FR,ABW
Arles,FR,ARL
Arleux,FR,UR2
Armaille,FR,RMA
Armbouts-Cappel,FR,ABC
Armentières,FR,RME
Armes,FR,558
Armissan,FR,AAX
Arnac-la-Poste,FR,APV
Arnac-Pompadour,FR,APU
Arnage,FR,ARA
Arnas,FR,ARN
Arnay-le-Duc,FR,AYL
Arnouville,FR,ZLG
Arpaillargues-et-Aureillac,FR,A3P
Arpajon,FR,APN
Arpajon-sur-Cère,FR,ARP
Arques,FR,AAE
Arques,FR,AAN
Arques,FR,ARQ
Arques-la-Bataille,FR,AQB
Arquettes,FR,AQE
Arquian,FR,AQ5
Arrabloy,FR,ABJ
Arradon,FR,ADN
Arras,FR,ARR
Arras-sur-Rhône,FR,ASF
Arreau,FR,TYI
Arrens-Marsous,FR,AAR
Arrentières,FR,ATJ
Arricau-Bordes,FR,A6B
Arromanches-les-Bains,FR,R4B
Arrou,FR,ARU
Arrouède,FR,OAD
Ars,FR,AXS
Arsac,FR,AIK
Arsac-en-Velay,FR,AE7
Ars-en-Ré,FR,AER
Arsonval,FR,A7V
Ars-sur-Moselle,FR,RSY
Artagnan,FR,AH6
Artas,FR,AT2
Artemare,FR,EJH
Artenay,FR,XRT
Arthenac,FR,9AC
Arthès,FR,AT7
Arthez-d'Armagnac,FR,ASW
Arthez-De-Béarn,FR,TZR
Arthon,FR,AHQ
Arthon-en-Retz,FR,L7V
Arthonnay,FR,ARH
Artigueloutan,FR,AOL
Artiguelouve,FR,GUO
Artigues,FR,4AV
Artigues-près-Bourdeaux,FR,ATS
Artix,FR,ART
Artonne,FR,A6N
Artres,FR,ATQ
Arudy,FR,AUY
Arvant,FR,ZQA
Arveyres,FR,YES
Arvieu,FR,A2V
Arvieux,FR,A2X
Arville,FR,AL4
Arzal,FR,AZR
Arzano,FR,RZO
Arzens,FR,ARZ
Arzon,FR,RZN
Asasp-Arros,FR,APO
Ascain,FR,AC8
Ascoux,FR,A3S
Asfeld,FR,AQF
Asnières-la-Giraud,FR,ASR
Asnières-lès-Dijon,FR,AL7
Asnières-sur-Seine,FR,AQS
Asnois,FR,YAS
Aspach-le-Bas,FR,AP4
Aspach-le-Haut,FR,AP3
Aspères,FR,XPX
Asperjoc,FR,JO8
Aspiran,FR,ASP
Asques,FR,AQU
Asquins,FR,QSQ
